,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
41,Hollt,Ethical World,0.8,0.649,10.0,-12.893,0.0,0.058,0.000539,0.934,0.0971,0.0918,122.997,438114.0,4.0
42,Marino Canal,Radiance,0.69,0.702,4.0,-10.682,0.0,0.0533,0.00755,0.832,0.108,0.376,119.994,380262.0,4.0
43,Moonwalk,Different People,0.702,0.7,11.0,-7.86,0.0,0.0448,0.00197,0.794,0.0998,0.229,121.996,381405.0,4.0
44,Jos & Eli,Mayhem,0.8,0.659,1.0,-8.592,1.0,0.0473,0.00228,0.902,0.0983,0.149,122.002,464546.0,4.0
45,Fur Coat,Ephemera,0.685,0.697,7.0,-9.849,1.0,0.039,8.88e-05,0.898,0.0991,0.0614,120.016,386792.0,4.0
46,Soul Button,Incendiary,0.75,0.599,10.0,-11.426,0.0,0.0621,0.00508,0.883,0.112,0.0875,123.013,431334.0,4.0
47,S.ONE,The Wind That Speaks To Me,0.795,0.895,7.0,-8.288,1.0,0.0463,0.00746,0.83,0.0964,0.0507,121.999,386682.0,4.0
48,Third Person,"Shoot Me To The Sky - Wurtz, Iberian Muse Remix",0.676,0.782,11.0,-9.105,0.0,0.038,0.064,0.178,0.197,0.0399,123.972,325375.0,4.0
49,Mark Hoffen,Comet,0.737,0.678,11.0,-11.011,1.0,0.0399,0.0103,0.837,0.638,0.0437,120.995,437216.0,4.0
50,8Kays,Easy - Fur Coat Remix,0.781,0.721,9.0,-8.737,0.0,0.0534,0.00435,0.832,0.0914,0.229,124.008,374754.0,4.0
51,Jonas Saalbach,Gardens Of Siam,0.688,0.861,8.0,-9.09,0.0,0.0632,2.83e-05,0.895,0.087,0.185,119.996,308125.0,4.0
52,Arude,Sleepless Nights,0.731,0.834,10.0,-8.594,0.0,0.0642,0.0267,0.823,0.0205,0.565,119.986,464063.0,4.0
53,OIBAF&WALLEN,Sherala,0.789,0.639,5.0,-12.702,0.0,0.0411,0.00164,0.918,0.112,0.0386,122.002,411736.0,4.0
54,Fur Coat,Mysterious Valley,0.769,0.939,10.0,-7.457,0.0,0.0427,0.346,0.878,0.11,0.307,123.0,382373.0,3.0
55,D-Formation,Hera,0.683,0.848,7.0,-9.153,1.0,0.0418,0.00121,0.866,0.169,0.0923,124.02,245806.0,4.0
56,Goom Gum,Jois,0.771,0.669,1.0,-9.817,1.0,0.0431,0.0371,0.906,0.0982,0.235,120.011,485483.0,4.0
57,Stan Kolev,Moira,0.727,0.52,6.0,-13.902,0.0,0.0677,0.00762,0.874,0.0747,0.724,123.004,441463.0,4.0
58,Rauschhaus,Anubis,0.796,0.885,2.0,-8.91,0.0,0.0444,0.0249,0.77,0.0937,0.221,123.007,468293.0,4.0
59,Stephan Bodzin,Earth,0.743,0.8,4.0,-14.588,0.0,0.0502,0.0434,0.894,0.131,0.0446,125.012,452877.0,3.0
60,Adriatique,Trance Lesson,0.802,0.899,7.0,-7.867,0.0,0.0475,0.00115,0.889,0.108,0.176,121.988,410795.0,4.0
61,Haze-M,Mahadeva,0.787,0.803,1.0,-7.672,1.0,0.0509,0.00531,0.702,0.101,0.115,121.989,378600.0,4.0
62,Flemming Bassedow,Fadin,0.472,0.712,8.0,-12.045,0.0,0.056,0.00695,0.852,0.11,0.259,123.998,455837.0,3.0
63,Sarcasmo,Undergo,0.719,0.583,11.0,-11.541,1.0,0.0579,0.0973,0.882,0.106,0.124,123.993,358261.0,4.0
64,Artaria,Om Damodaraya,0.736,0.839,5.0,-7.668,1.0,0.0413,0.0401,0.851,0.123,0.245,121.995,398000.0,4.0
65,Kapibara,Leopardus,0.794,0.931,0.0,-7.131,1.0,0.0618,0.0138,0.868,0.107,0.472,118.996,351652.0,4.0
66,Eli & Dani,Running Out - OIBAF&WALLEN Remix,0.603,0.712,2.0,-8.045,1.0,0.0344,0.000306,0.389,0.106,0.0397,122.997,415610.0,4.0
67,VovaWave,The Rabbit Hole,0.659,0.636,5.0,-7.158,0.0,0.0357,0.00387,0.883,0.706,0.0707,122.008,464078.0,4.0
68,Andrewboy,Heart of the Slavic Era - High On Mars and Sebastian Haas Remix,0.713,0.823,4.0,-8.873,0.0,0.0517,0.000772,0.849,0.104,0.0723,125.021,240000.0,4.0
69,Losless,Away,0.729,0.706,6.0,-10.654,1.0,0.0469,0.0702,0.87,0.648,0.037,122.987,445498.0,4.0
70,Rauschhaus,Nanda - Extended Mix,0.77,0.955,9.0,-7.95,1.0,0.0504,0.152,0.876,0.0934,0.271,122.998,413659.0,4.0
71,Jon.K,Le-Cœur-Volé,0.791,0.838,1.0,-7.291,1.0,0.0545,0.0406,0.534,0.089,0.154,122.995,442927.0,4.0
72,Cherry (UA),Armonica,0.65,0.881,0.0,-7.931,0.0,0.0418,0.000197,0.827,0.139,0.182,122.991,251418.0,4.0
73,Paradoks,Sense of Wonder,0.61,0.93,7.0,-6.689,1.0,0.0406,2.34e-05,0.835,0.0953,0.0453,124.006,241283.0,4.0
74,Rauschhaus,Kamala - Extended Mix,0.735,0.819,4.0,-8.074,0.0,0.0419,0.0414,0.876,0.351,0.0467,123.0,424000.0,4.0
75,Holly North,Far Away - Kalipo Remix,0.604,0.56,7.0,-12.973,1.0,0.193,0.18,0.816,0.111,0.293,125.009,440156.0,4.0
76,CHRIS MØRGAN,No,0.766,0.854,1.0,-9.299,1.0,0.0471,0.0963,0.881,0.103,0.187,122.006,383756.0,4.0
77,Haffenfold,The Vestige,0.652,0.569,0.0,-10.134,0.0,0.0473,0.0246,0.841,0.0976,0.283,122.997,381225.0,3.0
